Replication,Line,Tester,Yield,Type
2,Genor73,Genor73,20.16666667,parent
2,Genor75,Genor75,12.342,parent
2,Genor77,Genor77,21.37666667,parent
2,Genor78,Genor78,18.029,parent
2,Genor80,Genor80,16.94,parent
2,Genor81,Genor81,20.8725,parent
2,Genor82,Genor82,23.958,parent
2,Genor83,Genor83,21.02375,parent
2,Genor85,Genor85,18.55333333,parent
2,Genor86,Genor86,15.32666667,parent
2,Genor87,Genor87,22.385,parent
2,Genor88,Genor88,22.58666667,parent
2,Genor91,Genor91,17.14166667,parent
2,Genor93,Genor93,20.77166667,parent
2,Genor94,Genor94,25.41,parent
2,Genor97,Genor97,21.054,parent
2,Genor98,Genor98,18.4525,parent
1,Genom100,tester2,6.2,cross
1,Genom100,tester1,21.36666667,cross
1,Genom102,tester2,13.6,cross
1,Genom102,tester1,10.46666667,cross
1,Genom104,tester2,15.86666667,cross
1,Genom104,tester1,19.16666667,cross
1,Genom106,tester2,13.18,cross
1,Genom106,tester1,6.725,cross
1,Genom111,tester2,11.4,cross
1,Genom111,tester1,22.48,cross
1,Genom112,tester2,23.33333333,cross
1,Genom112,tester1,22.6,cross
1,Genom113,tester2,20.86737194,cross
1,Genom113,tester1,24.6,cross
1,Genom114,tester2,20.78004659,cross
1,Genom114,tester1,19.33333333,cross
1,Genom115,tester2,20.76964606,cross
1,Genom115,tester1,33.7,cross
1,Genom117,tester2,21.14641355,cross
1,Genom117,tester1,22.73333333,cross
1,Genom118,tester2,13.23333333,cross
1,Genom118,tester1,18.9,cross
1,Genom119,tester2,14.5,cross
1,Genom119,tester1,40.3,cross
1,Genom120,tester2,11.875,cross
1,Genom120,tester1,23.02,cross
1,Genom131,tester2,18.675,cross
1,Genom131,tester1,18.05,cross
1,Genom136,tester2,14.37886773,cross
1,Genom136,tester1,12.3,cross
1,Genom142,tester2,15.725,cross
1,Genom142,tester1,21.075,cross
1,Genom144,tester2,14.88,cross
1,Genom144,tester1,24.88,cross
1,Genom146,tester2,15.44,cross
1,Genom146,tester1,25.04,cross
1,Genom147,tester2,10,cross
1,Genom147,tester1,22.56666667,cross
1,Genom148,tester2,10.56,cross
1,Genom148,tester1,28.74,cross
1,Genom149,tester2,8.64,cross
1,Genom149,tester1,21.975,cross
1,Genom150,tester2,11.66,cross
1,Genom150,tester1,7.5,cross
1,Genom151,tester2,6.48,cross
1,Genom151,tester1,20.1,cross
1,Genom155,tester2,7,cross
1,Genom155,tester1,20.46666667,cross
1,Genom157,tester2,16.3,cross
1,Genom157,tester1,26.925,cross
1,Genom160,tester2,11.96,cross
1,Genom160,tester1,23.36666667,cross
1,Genom164,tester2,17.3,cross
1,Genom164,tester1,22.66666667,cross
1,Genom166,tester2,16.02,cross
1,Genom166,tester1,22.6,cross
1,Genom173,tester2,14,cross
1,Genom173,tester1,23.9,cross
1,Genom175,tester2,15.9,cross
1,Genom175,tester1,23.57013566,cross
1,Genom176,tester2,18,cross
1,Genom176,tester1,19.425,cross
1,Genom19,tester2,32.15,cross
1,Genom19,tester1,24.95,cross
1,Genom194,tester2,17.325,cross
1,Genom194,tester1,31.08,cross
1,Genom195,tester2,17.725,cross
1,Genom195,tester1,27.5,cross
1,Genom196,tester2,15.6,cross
1,Genom196,tester1,32.53333333,cross
1,Genom20,tester2,13.61722647,cross
1,Genom20,tester1,18.675,cross
1,Genom202,tester2,19.075,cross
1,Genom202,tester1,34.5,cross
1,Genom206,tester2,14.775,cross
1,Genom206,tester1,18.26,cross
1,Genom21,tester2,18.68336149,cross
1,Genom21,tester1,19.8,cross
1,Genom216,tester2,17.9,cross
1,Genom216,tester1,36.4,cross
1,Genom222,tester2,36.75,cross
1,Genom222,tester1,31.23333333,cross
1,Genom23,tester2,14.35058179,cross
1,Genom23,tester1,10.46666667,cross
1,Genom231,tester2,5.166666667,cross
1,Genom231,tester1,25.45,cross
1,Genom234,tester2,15.33624626,cross
1,Genom234,tester1,18.53333333,cross
1,Genom237,tester2,5.66,cross
1,Genom237,tester1,33.3,cross
1,Genom238,tester2,7.2,cross
1,Genom238,tester1,18.85537207,cross
1,Genom239,tester2,23,cross
1,Genom239,tester1,18.925,cross
1,Genom240,tester2,12.25,cross
1,Genom240,tester1,19.65,cross
1,Genom241,tester2,18.79159029,cross
1,Genom241,tester1,21.9,cross
1,Genom247,tester2,19.54987164,cross
1,Genom247,tester1,14.83333333,cross
1,Genom248,tester2,14.5,cross
1,Genom248,tester1,33.05,cross
1,Genom251,tester2,11.24,cross
1,Genom251,tester1,20.14,cross
1,Genom255,tester2,16.5,cross
1,Genom255,tester1,19,cross
1,Genom258,tester2,11.4,cross
1,Genom258,tester1,33.35,cross
1,Genom259,tester2,12.76,cross
1,Genom259,tester1,29.16,cross
1,Genom260,tester2,31.125,cross
1,Genom260,tester1,21.03840992,cross
1,Genom262,tester2,17.075,cross
1,Genom262,tester1,10.4,cross
1,Genom263,tester2,13.6626117,cross
1,Genom263,tester1,12.5,cross
1,Genom267,tester2,13.43333333,cross
1,Genom267,tester1,22.36666667,cross
1,Genom283,tester2,35.675,cross
1,Genom283,tester1,17.110374,cross
1,Genom292,tester2,7.58,cross
1,Genom292,tester1,12.9,cross
1,Genom293,tester2,5.54,cross
1,Genom293,tester1,16.525,cross
1,Genom296,tester2,12.98,cross
1,Genom296,tester1,26.98,cross
1,Genom298,tester2,24.6,cross
1,Genom298,tester1,15.8,cross
1,Genom3,tester2,20.49186527,cross
1,Genom3,tester1,5.38,cross
1,Genom301,tester2,16.14,cross
1,Genom301,tester1,19.3,cross
1,Genom303,tester2,22.83464581,cross
1,Genom303,tester1,24.1,cross
1,Genom305,tester2,16.48,cross
1,Genom305,tester1,29.175,cross
1,Genom308,tester2,35.55,cross
1,Genom308,tester1,24.7,cross
1,Genom310,tester2,24.15,cross
1,Genom310,tester1,37.66,cross
1,Genom312,tester2,15.15,cross
1,Genom312,tester1,24.725,cross
1,Genom313,tester2,14.65100361,cross
1,Genom313,tester1,28.16,cross
1,Genom314,tester2,14.03333333,cross
1,Genom314,tester1,40.4,cross
1,Genom315,tester2,15.6,cross
1,Genom315,tester1,25.1,cross
1,Genom319,tester2,15.49966216,cross
1,Genom319,tester1,26.52,cross
1,Genom32,tester2,13.13357142,cross
1,Genom32,tester1,17.775,cross
1,Genom321,tester2,24.02325899,cross
1,Genom321,tester1,34.1,cross
1,Genom324,tester2,23.23629896,cross
1,Genom324,tester1,27.875,cross
1,Genom329,tester2,22.25,cross
1,Genom329,tester1,25.6,cross
1,Genom331,tester2,22.45,cross
1,Genom331,tester1,20.55,cross
1,Genom334,tester2,18.36,cross
1,Genom334,tester1,25.9,cross
1,Genom335,tester2,14.68,cross
1,Genom335,tester1,19.55,cross
1,Genom338,tester2,10.4,cross
1,Genom338,tester1,23.03068258,cross
1,Genom339,tester2,9.6,cross
1,Genom339,tester1,9.26,cross
1,Genom341,tester2,16.22,cross
1,Genom341,tester1,25.6,cross
1,Genom35,tester2,17.09921396,cross
1,Genom35,tester1,20.84,cross
1,Genom38,tester2,18.78488409,cross
1,Genom38,tester1,18.56666667,cross
1,Genom39,tester2,14.02937272,cross
1,Genom39,tester1,20.4,cross
1,Genom4,tester2,5.15,cross
1,Genom4,tester1,21.4,cross
1,Genom45,tester2,16.33333333,cross
1,Genom45,tester1,18.65,cross
1,Genom47,tester2,18.4,cross
1,Genom47,tester1,38.53333333,cross
1,Genom52,tester2,8.55,cross
1,Genom52,tester1,12.67,cross
1,Genom60,tester2,5.74,cross
1,Genom60,tester1,7.766666667,cross
1,Genom62,tester2,15.76666667,cross
1,Genom62,tester1,25.65,cross
1,Genom67,tester2,8.55,cross
1,Genom67,tester1,18.95,cross
1,Genom70,tester2,11.16666667,cross
1,Genom70,tester1,22.93333333,cross
1,Genom74,tester2,9.88,cross
1,Genom74,tester1,27.14,cross
1,Genom77,tester2,6.2,cross
1,Genom77,tester1,19.3,cross
1,Genom78,tester2,8.6,cross
1,Genom78,tester1,8.95,cross
1,Genom80,tester2,9.08,cross
1,Genom80,tester1,26.36666667,cross
1,Genom82,tester2,16.26666667,cross
1,Genom82,tester1,16.43333333,cross
1,Genom86,tester2,22.7,cross
1,Genom86,tester1,9.4,cross
1,Genom87,tester2,15.3,cross
1,Genom87,tester1,11.46666667,cross
1,Genom92,tester2,4.675,cross
1,Genom92,tester1,13.6,cross
1,Genom96,tester2,5.325,cross
1,Genom96,tester1,39.78,cross
1,Genor100,tester2,25.46666667,cross
1,Genor100,tester1,19.24696409,cross
