Environment,Block,Type,Plot_no,Genotype,Trait1,Trait2
loc2,2,test,50,geno63,97.16666666,14.575
loc2,2,test,51,geno67,100.54,12.54
loc2,2,test,52,geno68,101.42,11.825
loc2,2,test,53,geno72,107.36,13.2
loc2,2,test,54,geno77,106.92,11.44
loc2,2,test,55,geno84,105.16,14.96
loc2,2,test,56,geno85,102.3,14.74
loc2,2,test,57,geno86,106.7,14.3
loc2,2,test,58,geno90,102.08,19.8
loc2,2,test,59,geno91,110.22,12.1
loc2,2,test,60,geno98,109.34,17.23333334
loc2,2,test,61,geno99,108.68,14.08
loc2,2,test,62,geno105,114.18,10.56
loc2,2,test,63,geno109,103.4,14.96
loc2,2,test,64,geno111,102.96,14.08
loc2,2,test,65,geno113,126.225,16.86666666
loc2,2,test,66,geno114,102.08,11.66
loc2,2,test,67,geno117,102.96,12.1
loc2,2,check,68,check1,96.06666666,16.5
loc2,2,check,69,check2,98.34,16.28
loc2,2,check,70,check3,110.88,12.925
loc2,2,check,71,check4,106.48,11.275
loc2,2,check,72,check5,105.82,23.925
loc2,3,test,73,geno1,110,13.2
loc2,3,test,74,geno8,95.26,14.025
loc2,3,test,75,geno12,106.04,15.03333334
loc2,3,test,76,geno14,107.58,10.45
loc2,3,test,77,geno17,109.78,17.16
loc2,3,test,78,geno20,108.68,13.475
loc2,3,test,79,geno27,111.1,13.2
loc2,3,test,80,geno28,111.32,11.275
loc2,3,test,81,geno30,109.78,19.8
loc2,3,test,82,geno33,106.26,15.675
loc2,3,test,83,geno41,111.76,12.65
loc2,3,test,84,geno42,115.28,14.575
loc2,3,test,85,geno46,109.56,13.75
loc2,3,test,86,geno48,99,13.475
loc2,3,test,87,geno56,108.68,12.65
loc2,3,test,88,geno58,111.1,15.4
loc2,3,test,89,geno64,106.15,13.475
loc2,3,test,90,geno70,107.36,15.03333334
loc2,3,test,91,geno71,109.45,14.575
loc2,3,test,92,geno78,108.1666667,15.03333334
loc2,3,test,93,geno83,100.54,16.06
loc2,3,test,94,geno88,115.94,19.525
loc2,3,test,95,geno95,108.68,14.52
loc2,3,test,96,geno97,108.9,13.75
loc2,3,test,97,geno102,109.45,18.7
loc2,3,test,98,geno103,101.75,12.83333334
loc2,3,test,99,geno108,129.8,14.025
loc2,3,test,100,geno110,109.34,15.18
loc2,3,test,101,geno112,111.375,12.1
loc2,3,test,102,geno115,106.92,14.3
loc2,3,test,103,geno118,112.2,15.76666666
loc2,3,check,104,check1,95.425,16.5
loc2,3,check,105,check2,104.06,16.225
loc2,3,check,106,check3,111.1,12.925
loc2,3,check,107,check4,104.5,13.2
loc2,3,check,108,check5,101.42,14.74
loc2,4,test,109,geno123,110.22,17.38
loc2,4,test,110,geno124,109.56,18.7
loc2,4,test,111,geno126,98.34,20.9
loc2,4,test,112,geno128,98.56,22.22
loc2,4,test,113,geno129,99.22,20.35
loc2,4,test,114,geno131,99.44,15.4
loc2,4,test,115,geno134,118.8,19.25
loc2,4,test,116,geno135,103.18,16.225
loc2,4,test,117,geno139,99,25.3
loc2,4,test,118,geno140,120.12,17.325
loc2,4,test,119,geno141,117.26,20.53333334
loc2,4,test,120,geno143,111.76,15.95
loc2,4,test,121,geno144,111.375,17.05
loc2,4,test,122,geno147,110.88,9.9
loc2,4,test,123,geno148,117.04,20.9
loc2,4,test,124,geno150,108.9,16.72
loc2,4,test,125,geno151,112.42,21.63333334
loc2,4,test,126,geno154,112.64,22
loc2,4,test,127,geno159,117.04,19.25
loc2,4,test,128,geno161,117.975,13.93333334
loc2,4,test,129,geno162,120.78,17.6
loc2,4,test,130,geno163,115.94,16.225
loc2,4,test,131,geno164,144.54,15.18
loc2,4,test,132,geno165,118.8,18.04
loc2,4,test,133,geno166,97.9,14.74
loc2,4,test,134,geno168,117.48,22.66
loc2,4,test,135,geno170,98.56,23.1
loc2,4,test,136,geno174,114.125,17.6
loc2,4,test,137,geno175,112.9333334,28.96666666
loc2,4,test,138,geno177,112.2,14.66666666
loc2,4,test,139,geno181,111.32,16.72
loc2,4,check,140,check1,97.075,15.4
loc2,4,check,141,check2,97.9,17.05
loc2,4,check,142,check3,112.475,18.15
loc2,4,check,143,check4,111.32,15.18
loc2,4,check,144,check5,100.1,23.76
loc2,5,test,145,geno3,109.12,11.275
loc2,5,test,146,geno5,93.94,13.2
loc2,5,test,147,geno11,103.84,15.675
loc2,5,test,148,geno13,96.8,14.3
loc2,5,test,149,geno18,104.06,17.325
loc2,5,test,150,geno21,113.08,13.2
loc2,5,test,151,geno38,126.72,11.275
