LOC,BLOCK,Type,GEN,Trait1,Trait2
loc1,3,test,genox131,109.78,5.72
loc3,3,test,genox131,97.02,11
loc2,3,test,genox131,107.58,10.45
loc1,3,test,genox144,109.34,6.38
loc3,3,test,genox144,88,11.44
loc2,3,test,genox144,109.78,17.16
loc1,3,test,genox148,114.675,7.04
loc3,3,test,genox148,91.3,12.98
loc2,3,test,genox148,108.68,13.475
loc1,3,test,genox164,116.6,5.5
loc3,3,test,genox164,93.225,12.46666666
loc2,3,test,genox164,111.1,13.2
loc1,3,test,genox166,113.96,7.26
loc3,3,test,genox166,93.06,11.36666666
loc2,3,test,genox166,111.32,11.275
loc1,3,test,genox175,113.85,7.975
loc3,3,test,genox175,99.88,15.4
loc2,3,test,genox175,109.78,19.8
loc1,3,test,genox19,102.3,8.36
loc3,3,test,genox19,91.08,12.98
loc2,3,test,genox19,106.26,15.675
loc1,3,test,genox21,110.275,5.94
loc3,3,test,genox21,92.4,17.325
loc2,3,test,genox21,111.76,12.65
loc1,3,test,genox213,116.325,6.6
loc3,3,test,genox213,97.24,9.9
loc2,3,test,genox213,115.28,14.575
loc1,3,test,genox231,106.7,7.26
loc3,3,test,genox231,84.26,13.475
loc2,3,test,genox231,109.56,13.75
loc1,3,test,genox237,100.1,9.68
loc3,3,test,genox237,80.66666666,12.375
loc2,3,test,genox237,99,13.475
loc1,3,test,genox251,111.65,5.94
loc3,3,test,genox251,83.6,12.76
loc2,3,test,genox251,108.68,12.65
loc1,3,test,genox258,102.96,6.6
loc3,3,test,genox258,85.8,12.375
loc2,3,test,genox258,111.1,15.4
loc1,3,test,genox270,99,6.16
loc3,3,test,genox270,88.88,14.575
loc2,3,test,genox270,106.15,13.475
loc1,3,test,genox298,99.22,5.94
loc3,3,test,genox298,88,15.4
loc2,3,test,genox298,107.36,15.03333334
loc1,3,test,genox3,106.7,5.5
loc3,3,test,genox3,95.7,13.75
loc2,3,test,genox3,109.45,14.575
loc1,3,test,genox313,110,7.04
loc3,3,test,genox313,91.96,12.65
loc2,3,test,genox313,108.1666667,15.03333334
loc1,3,test,genox32,96.525,7.48
loc3,3,test,genox32,85.36,16.28
loc2,3,test,genox32,100.54,16.06
loc1,3,test,genox334,115.5,6.16
loc3,3,test,genox334,94.96666666,10.78
loc2,3,test,genox334,115.94,19.525
loc1,3,test,genox360,109.725,7.04
loc3,3,test,genox360,86.02,11.825
loc2,3,test,genox360,108.68,14.52
loc1,3,test,genox38,107.25,6.16
loc3,3,test,genox38,97.35,14.3
loc2,3,test,genox38,108.9,13.75
loc1,3,test,genox45,113.3,7.7
loc3,3,test,genox45,93.5,9.9
loc2,3,test,genox45,109.45,18.7
loc1,3,test,genox47,117.3333334,8.8
loc3,3,test,genox47,94.875,18.15
loc2,3,test,genox47,101.75,12.83333334
loc1,3,test,genox7,113.6666666,7.26
loc3,3,test,genox7,118.36,12.98
loc2,3,test,genox7,129.8,14.025
loc1,3,test,genox74,114.84,7.26
loc3,3,test,genox74,92.84,14.025
loc2,3,test,genox74,109.34,15.18
loc1,3,test,genox78,109.34,6.6
loc3,3,test,genox78,88,17.6
loc2,3,test,genox78,111.375,12.1
loc1,3,test,genox82,107.58,6.38
loc3,3,test,genox82,95.425,15.4
loc2,3,test,genox82,106.92,14.3
loc1,3,test,genox92,114.95,7.04
loc3,3,test,genox92,86.9,10.725
loc2,3,test,genox92,112.2,15.76666666
loc1,3,check,PB1509,115.06,9.46
loc3,3,check,PB1509,75.9,10.12
loc2,3,check,PB1509,104.06,16.225
loc1,3,check,test2,109.12,5.5
loc3,3,check,test2,92.4,13.475
loc2,3,check,test2,111.1,12.925
loc1,3,check,test3,101.64,7.04
loc3,3,check,test3,93.5,14.08
loc2,3,check,test3,104.5,13.2
loc1,3,check,test4,103.18,7.48
loc3,3,check,test4,95.7,15.95
loc2,3,check,test4,101.42,14.74
loc1,4,check,genotest,95.04,7.04
loc3,4,check,genotest,81.18,15.62
loc2,4,check,genotest,97.075,15.4
loc1,4,test,genox353,98.175,6.82
loc1,4,test,genox356,111.1,10.12
loc1,4,test,genox357,98.34,7.04
loc2,4,test,genoy104,110.22,17.38
loc1,4,test,genoy105,101.475,5.5
loc3,4,test,genoy105,94.16,9.35
loc2,4,test,genoy105,109.56,18.7
loc1,4,test,genoy109,90.2,6.325
loc3,4,test,genoy109,83.05,12.76
loc2,4,test,genoy109,98.34,20.9
loc1,4,test,genoy113,77.825,8.14
loc3,4,test,genoy113,85.58,13.64
loc2,4,test,genoy113,98.56,22.22
loc1,4,test,genoy114,90.86,7.48
loc3,4,test,genoy114,83.38,9.46
loc2,4,test,genoy114,99.22,20.35
loc1,4,test,genoy117,90.42,5.72
loc3,4,test,genoy117,94.23333334,11.44
loc2,4,test,genoy117,99.44,15.4
loc1,4,test,genoy127,111.8333334,6.82
loc3,4,test,genoy127,106.48,13.75
loc2,4,test,genoy127,118.8,19.25
loc1,4,test,genoy16,95.92,6.38
loc3,4,test,genoy16,77.22,13.2
loc2,4,test,genoy16,103.18,16.225
loc1,4,test,genoy23,93.06,7.7
loc3,4,test,genoy23,82.28,13.42
loc2,4,test,genoy23,99,25.3
loc1,4,test,genoy25,104.94,6.16
loc3,4,test,genoy25,106.48,13.75
loc2,4,test,genoy25,120.12,17.325
loc1,4,test,genoy26,116.9666666,9.24
loc3,4,test,genoy26,109.34,9.075
loc2,4,test,genoy26,117.26,20.53333334
loc1,4,test,genoy28,100.8333333,8.36
loc3,4,test,genoy28,100.65,14.3
loc2,4,test,genoy28,111.76,15.95
loc1,4,test,genoy29,107.0666667,6.16
loc3,4,test,genoy29,112.86,11.825
loc2,4,test,genoy29,111.375,17.05
loc1,4,test,genoy31,106.425,6.16
loc3,4,test,genoy31,112.86,8.36
loc2,4,test,genoy31,110.88,9.9
loc1,4,test,genoy33,107.0666667,8.14
loc3,4,test,genoy33,103.4,11.44
loc2,4,test,genoy33,117.04,20.9
loc1,4,test,genoy36,108.9,6.16
loc3,4,test,genoy36,101.42,13.2
loc2,4,test,genoy36,108.9,16.72
loc1,4,test,genoy37,121.22,9.9
loc3,4,test,genoy37,94.16,12.65
loc2,4,test,genoy37,112.42,21.63333334
loc1,4,test,genoy45,129.36,7.7
loc3,4,test,genoy45,112.2,13.42
loc2,4,test,genoy45,112.64,22
loc1,4,test,genoy55,134.64,8.14
loc3,4,test,genoy55,117.425,11.44
loc2,4,test,genoy55,117.04,19.25
loc1,4,test,genoy61,127.875,7.26
loc3,4,test,genoy61,116.6,12.32
loc2,4,test,genoy61,117.975,13.93333334
loc3,4,test,genoy67,104.5,10.56
loc2,4,test,genoy67,120.78,17.6
loc3,4,test,genoy69,108.9,9.9
loc2,4,test,genoy69,115.94,16.225
loc1,4,test,genoy7,143.7333334,9.02
loc3,4,test,genoy7,118.8,16.86666666
loc2,4,test,genoy7,144.54,15.18
loc1,4,test,genoy71,127.6,6.6
loc3,4,test,genoy71,108.02,8.14
loc2,4,test,genoy71,118.8,18.04
loc1,4,test,genoy72,95.7,9.02
loc3,4,test,genoy72,84.7,16.94
loc2,4,test,genoy72,97.9,14.74
loc3,4,test,genoy75,114.84,12.925
loc2,4,test,genoy75,117.48,22.66
loc1,4,test,genoy78,121.825,6.82
loc3,4,test,genoy78,107.8,11
loc1,4,test,genoy80,80.3,6.82
loc3,4,test,genoy80,121.44,9.46
loc2,4,test,genoy80,98.56,23.1
loc1,4,test,genoy85,113.6666666,5.72
loc3,4,test,genoy85,99.22,11.825
loc2,4,test,genoy85,114.125,17.6
loc1,4,test,genoy86,111.8333334,9.46
loc3,4,test,genoy86,97.24,16.13333334
loc2,4,test,genoy86,112.9333334,28.96666666
loc1,4,test,genoy88,102.025,7.92
loc3,4,test,genoy88,84.48,12.83333334
loc2,4,test,genoy88,112.2,14.66666666
loc1,4,test,genoy98,106.975,7.48
loc3,4,test,genoy98,101.42,11
loc2,4,test,genoy98,111.32,16.72
loc1,4,check,PB1509,114.84,10.12
loc3,4,check,PB1509,77,10.26666667
loc2,4,check,PB1509,97.9,17.05
loc1,4,check,test2,113.08,5.72
loc3,4,check,test2,92.62,11
loc2,4,check,test2,112.475,18.15
loc1,4,check,test3,100.375,5.72
loc3,4,check,test3,89.1,11.44
loc2,4,check,test3,111.32,15.18
loc1,4,check,test4,91.96,7.04
loc3,4,check,test4,96.36,17.05
loc2,4,check,test4,100.1,23.76
loc1,5,check,genotest,93.5,12.32
loc3,5,check,genotest,80.3,18.7
loc2,5,check,genotest,100.1,14.52
loc1,5,test,genox104,113.85,4.4
loc3,5,test,genox104,94.325,9.46
loc2,5,test,genox104,109.12,11.275
loc1,5,test,genox111,94.16,8.14
loc3,5,test,genox111,83.96666666,12.54
loc2,5,test,genox111,93.94,13.2
loc1,5,test,genox118,113.025,7.7
loc3,5,test,genox118,98.45,14.52
loc2,5,test,genox118,103.84,15.675
loc1,5,test,genox120,101.86,7.04
loc3,5,test,genox120,86.9,10.12
