Pedigree,Trait1,Trait2,Trait3,Trait4,Trait5,Trait6,Trait7,Trait8,Trait9
GENO126,10.53406603,2.14765364,18.82506025,4.300261493,99.26887562,87.00278552,66.0316559,2.17274138,5.846443321
GENO127,10.29010518,2.083868081,16.83888664,4.163600576,98.99872043,84.91666948,53.13662251,1.989309251,5.856521395
GENO128,9.885847802,2.109293888,16.72448844,4.949103365,102.1235103,92.63093756,70.30828452,2.045477028,5.532111797
GENO129,10.44169338,1.963169617,16.49489152,4.159342786,101.0755809,88.30595435,63.01501897,1.910843624,6.27333921
GENO130,10.34086564,2.109753428,16.8242295,4.370731819,100.6068464,90.3482415,69.43940402,1.968065375,5.855050636
GENO131,10.33511104,2.118922908,16.55118403,4.16611256,100.8386959,91.4054181,66.37301804,1.947050737,5.802338186
GENO132,10.30166872,2.050564139,16.79685499,3.996001535,101.6273081,88.57051164,64.48609408,1.990083869,5.967159588
GENO133,10.42292656,2.081080996,16.78856178,3.957687214,100.3193385,87.11834856,64.79561608,1.957749547,5.970656171
GENO134,10.2639729,2.113250083,16.64623559,5.070789409,100.1028189,87.29797645,66.14295732,1.959611347,5.77483715
GENO135,9.391006429,1.934661674,16.51628545,4.121391925,100.3066881,89.46329654,61.33304134,2.114364208,5.832292264
GENO136,10.16268304,1.982455247,15.89316844,4.045239392,97.89706976,83.7135291,49.98676075,1.887844249,6.094149934
GENO137,9.79470696,1.978925902,15.98551822,3.655024218,100.7705194,84.90249629,59.06780636,2.013096934,5.781312667
GENO138,10.21420539,1.909268677,15.93702546,3.692772283,95.66104271,81.54757564,51.8158191,1.887279401,6.368234671
GENO139,10.8018129,2.025118606,16.976337,3.728964511,97.13197576,85.43667215,61.94014081,1.900512377,6.420912394
GENO140,10.36293497,1.95571084,17.19496032,3.805082815,99.21529376,84.14650216,53.24201605,2.024538828,6.279110188
GENO141,10.28876466,2.054716699,18.80773966,4.093294003,101.9973561,89.73731518,68.125571,2.250845828,5.924157503
GENO142,10.52094696,2.084452296,18.92108874,4.665005143,101.9646572,88.55042996,60.3583198,2.179750369,5.98621119
GENO143,9.927364219,2.027666537,18.04632481,4.191338735,99.84981107,88.93768722,69.91397903,2.221428803,5.761863805
GENO144,8.827221126,2.26724045,15.68843599,4.335769448,102.2410479,90.82743767,77.35854311,2.207099645,4.607465543
