Pedigree,LOC,Trait
Genoy117,LOC4,81.79482409
Genoy118,loc1,83.62455455
Genoy118,loc2,83.63608284
Genoy118,LOC3,82.90147841
Genoy118,LOC4,83.40256524
Genoy119,loc1,82.79479292
Genoy119,loc2,83.68744466
Genoy119,LOC3,82.85063345
Genoy119,LOC4,83.58079685
Genoy120,loc1,76.57369674
Genoy120,loc2,76.48601155
Genoy120,LOC3,76.10349912
Genoy120,LOC4,76.99129771
Genoy131,loc1,75.3102607
Genoy131,loc2,75.5584446
Genoy131,LOC3,75.36988295
Genoy131,LOC4,75.69920097
Genoy136,loc1,75.78137441
Genoy136,loc2,76.01436312
Genoy136,LOC3,75.86016142
Genoy136,LOC4,77.19877519
Genoy142,loc1,79.02105756
Genoy142,loc2,78.8776939
Genoy142,LOC3,79.7941529
Genoy142,LOC4,80.19720099
Genoy144,loc1,77.07099055
Genoy144,loc2,77.2398731
Genoy144,LOC3,77.3281875
Genoy144,LOC4,74.87934885
Genoy146,loc1,79.30174282
Genoy146,loc2,78.97511769
Genoy146,LOC3,80.26912844
Genoy146,LOC4,79.06452054
Genoy147,loc1,79.89193977
Genoy147,loc2,79.11215618
Genoy147,LOC3,80.44292428
Genoy147,LOC4,80.55229083
Genoy148,loc1,79.58278523
Genoy148,loc2,79.98669693
Genoy148,LOC3,81.09309896
Genoy148,LOC4,80.56315291
Genoy149,loc1,81.13373891
Genoy149,loc2,80.42673577
Genoy149,LOC3,81.82980645
Genoy149,LOC4,81.78191893
Genoy150,loc1,80.43987885
Genoy150,loc2,80.52820152
Genoy150,LOC3,80.7308674
Genoy150,LOC4,80.41178137
Genoy151,loc1,78.69250536
Genoy151,loc2,78.330701
Genoy151,LOC3,79.02764665
Genoy151,LOC4,79.9771861
Genoy155,loc1,79.6686375
Genoy155,loc2,80.88361534
Genoy155,LOC3,81.93472093
Genoy155,LOC4,82.56375113
Genoy157,loc1,80.14248976
Genoy157,loc2,79.69792949
Genoy157,LOC3,82.03924578
Genoy157,LOC4,81.18850071
Genoy160,loc1,79.83814965
Genoy160,loc2,78.81549953
Genoy160,LOC3,78.78015129
Genoy160,LOC4,79.32551292
Genoy164,loc1,77.27761644
Genoy164,loc2,76.00241963
Genoy164,LOC3,79.4565537
Genoy164,LOC4,77.26910054
Genoy166,loc1,72.88262878
Genoy166,loc2,73.00996558
Genoy166,LOC3,74.96088801
Genoy166,LOC4,72.78817719
Genoy173,loc1,74.96762163
Genoy173,loc2,74.37631108
Genoy173,LOC3,75.5165582
Genoy173,LOC4,75.96097862
Genoy175,loc1,78.27687949
Genoy175,loc2,78.15478594
Genoy175,LOC3,79.72180133
Genoy175,LOC4,79.2331772
Genoy176,loc1,83.42157549
Genoy176,loc2,82.55092385
Genoy176,LOC3,83.42158087
Genoy176,LOC4,83.70774088
Genoy177,loc1,81.47621997
Genoy177,loc2,80.88515445
Genoy177,LOC3,81.37144023
Genoy177,LOC4,82.19190092
Genoy19,loc1,82.3083948
Genoy19,loc2,84.33128087
Genoy19,LOC3,82.77690653
Genoy19,LOC4,83.89877091
Genoy194,loc1,73.99911006
Genoy194,loc2,73.52657054
Genoy194,LOC3,78.55378139
Genoy194,LOC4,75.02055935
Genoy195,loc1,89.59202804
Genoy195,loc2,90.56551352
Genoy195,LOC3,89.92956234
Genoy195,LOC4,90.39436369
Genoy196,loc1,89.7186013
Genoy196,loc2,90.76452762
Genoy196,LOC3,89.80356388
Genoy196,LOC4,91.11713805
Genoy20,loc1,65.02696147
Genoy20,loc2,63.68723338
Genoy20,LOC3,65.16717537
Genoy20,LOC4,64.17345674
Genoy202,loc1,83.92690429
Genoy202,loc2,84.92919468
Genoy202,LOC3,86.90198782
Genoy202,LOC4,85.72017955
Genoy206,loc1,79.66138919
Genoy206,loc2,81.12314167
Genoy206,LOC3,81.24328991
Genoy206,LOC4,81.80425784
Genoy209,loc1,80.42233542
Genoy209,loc2,82.1032187
Genoy209,LOC3,82.26673232
Genoy209,LOC4,82.14963926
Genoy21,loc1,67.44564234
Genoy21,loc2,67.88360969
Genoy21,LOC3,67.34807731
Genoy21,LOC4,68.43645225
Genoy213,loc1,86.0606953
Genoy213,loc2,86.55253919
Genoy213,LOC3,85.56671133
Genoy213,LOC4,84.59214843
Genoy216,loc1,85.80860931
